prenom nom,age,lieu de naissance,taille,position,valeur,nationalité,pied ,dans l'equipe depuis,contract jusqu'a,photo,match,buts,passe decisive
Bilal Boutobba,29 août 1998 (23),Marseille,"1,72 m",Ailier droit,"1,80 mio. €\n\nDernier changement: 27 déc. 2021",France\n\n  Algérie,gauche,18 août 2020,30 juin 2023,https://img.a.transfermarkt.technology/portrait/header/344151-1432650638.jpg?lm=1,19,4,5
Dylan Louiserre(MDC),2 févr. 1995 (26),Saint-Aubin ,"1,72 m ",Milieu défensif ,"1,50 mio. €Dernier changement: 27 déc. 202 ", Guadeloupe France,droit ,"
1 juil. 2018",30 juin 2023,https://img.a.transfermarkt.technology/portrait/big/291415-1477069288.jpg?lm=1,18,1,2
Darline Yongwa(DG),22 sept. 2000 (21) ,Douala ,"1,72 m ", Arrière gauche ,"1,00 mio. € Dernier changement: 27 déc. 2021",Cameroun ,gauche,"1 juil. 2019
","30 juin 2023
",https://img.a.transfermarkt.technology/portrait/big/717118-1602016186.jpg?lm=1,17,0,0
Guy-Marcelin Kilama(DC),30 mai 1999 (22) ,Douala ,"1,82 m ",Défenseur central,900 K €Dernier changement: 27 déc. 2021 ,Cameroun ,?,"
1 juil. 2019","
30 juin 2023",https://img.a.transfermarkt.technology/portrait/big/604777-1602016319.jpg?lm=1,10,0,0
Ibrahima Conte(DC),3 avr. 1996 (25) ,Conakry ,"1,91 m ",Défenseur central ,800 K € Dernier changement: 27 déc. 2021,Guinée ,droit ,"26 juil. 2019
","
30 juin 2023",https://img.a.transfermarkt.technology/portrait/header/358512-1610639077.jpg?lm=1,16,0,0
Lenny Vallier(DG),24 avr. 1999 (22) ,Stains ,"1,78 m ",Arrière gauche ,800 K €Dernier changement: 27 déc. 2021 ,France ,"
Gauche","
15 sept. 2020","
30 juin 2023",https://img.a.transfermarkt.technology/portrait/header/371148-1595963102.jpg?lm=1,18,2,2
Quentin Braat(G),6 juil. 1997 (24) ,Fontainebleau ,"1,94 m",Gardien de but,800 K € Dernier changement: 27 déc. 2021,France ,droit,"
8 juil. 2020","
30 juin 2022",https://img.a.transfermarkt.technology/portrait/header/390942-1543940884.jpg?lm=1,19,0,0
Mataz Zemzemi(MG), 7 août 1999 (22) ,Tunis ,"1,86 m ",Milieu gauche ,800 K €Dernier changement: 27 déc. 2021 ,Tunisie ,gauche ,,,https://img.a.transfermarkt.technology/portrait/header/422893-1544005041.jpg?lm=1,16,2,2
Ibrahim Sissoko(BU), 27 nov. 1995 (26) ,Créteil ,"1,90 m ",Avant-centre ,800 K €Dernier changement: 27 déc. 2021 ,France ,droit,,,https://img.a.transfermarkt.technology/portrait/header/484888-1575879472.png?lm=1,9,3,1
Bryan Passi(DC),5 août 1997 (24) ,Marseille ,"1,89 m ",Défenseur central ,700 K €Dernier changement: 27 déc. 2021 ,France ,droit,,,https://img.a.transfermarkt.technology/portrait/header/411416-1544004633.jpg?lm=1,12,1,0
Mathieu Michel(G),4 sept. 1991 (30) ,Nîmes ,"1,89 m ",Gardien de but ,600 K €Dernier changement: 27 déc. 2021 ,France ,droit,,,https://img.a.transfermarkt.technology/portrait/header/193142-1599422972.jpg?lm=1,0,0,0
Brahima Doukansy(MDC),21 août 1999 (22) ,Paris ,"1,88 m ",Milieu défensif ,500 K €Dernier changement: 27 déc. 2021 ,France ,droit,,,https://img.a.transfermarkt.technology/portrait/header/517378-1630864113.jpg?lm=1,10,0,0
Joris Moutachy(DD),4 nov. 1997 (24) ,Orléans ,"1,77 m ",Arrière droit ,500 K €Dernier changement: 27 déc. 2021 ,France ,droit,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,11,0,2
